Card RFID/MAC Address;Driver;Targa;Nome della Sede / Sede secondaria;Tipologia di Presa;Identificativo della Sessione;Durata della sessione;Serial number e nome della Stazione di Ricarica;Fine sessione;Inizio sessione;Energia erogata
85048280;GF923SW;GF923SW;Gls Cosenza;TYPE2_C;e307f75b-b010-40a9-90f6-8d3ece957a46;2h 5m 18s;20XP22T3KK4AL01214 - Juice Pole 2 Prese;31/01/2026 11:33:36;31/01/2026 09:28:18;14,356
83601661;GR637XD;GR637XD;Gls Cosenza;TYPE2_C;e4d78d37-525e-4ae4-908c-4d7b7a16cc5f;0h 0m 8s;21XK11T2J03BF01377 - Juice Box 6;31/01/2026 07:20:52;31/01/2026 07:20:44;0
83604192;GR628XD;GR628XD;Gls Cosenza;TYPE2_C;d7e246f9-9eea-4af8-b08f-e923c18e803c;60h 1m 54s;21XK11T2J03BF01381 - Juice Box 10;02/02/2026 06:10:52;30/01/2026 18:08:57;38,432
83604189;GM709PN;GM709PN;Gls Cosenza;TYPE2_C;99039d29-0c93-4c69-86a5-e06b7524b77c;60h 47m 30s;21XK11T2J03BF00817 - Juice Box 9;02/02/2026 06:34:16;30/01/2026 17:46:45;41,852
83604191;GS820JN;GS820JN;Gls Cosenza;TYPE2_C;52cdddc7-0df7-4635-bfb9-117b64ba2e14;62h 34m 25s;21XK11T2J03BF01379 - Juice Box 8;02/02/2026 07:25:26;30/01/2026 16:51:00;46,276
83511001;GM099FB;GM099FB;Gls Cosenza;TYPE2_C;e61ad7e5-af2a-4c00-a389-a7dbbae7fd6a;61h 27m 20s;21XK11T2J03BF00818 - Juice Box 2;02/02/2026 06:15:18;30/01/2026 16:47:57;41,816
83510720;GM100FB;GM100FB;Gls Cosenza;TYPE2_C;02ac11dc-65fb-45f0-bad3-38cf87e1401a;62h 41m 26s;21XK11T2J03BF00819 - Juice Box 7;02/02/2026 07:25:37;30/01/2026 16:44:10;42,726
83601661;GR637XD;GR637XD;Gls Cosenza;TYPE2_C;f841e543-c3b6-40d5-918a-aeebc10cc8d0;15h 5m 49s;21XK11T2J03BF01377 - Juice Box 6;31/01/2026 07:22:20;30/01/2026 16:16:31;17,288
83662927;GS824JN;GS824JN;Gls Cosenza;TYPE2_C;233a3fd6-3359-42d4-8cee-5d8a635eadfc;62h 18m 24s;21XK11T2J03BF00797 - Juice Box 4;02/02/2026 06:17:33;30/01/2026 15:59:08;54,902
83601537;GM098FB;GM098FB;Gls Cosenza;TYPE2_C;2195207e-8b9c-4ee2-99ef-9e3bc05b2393;63h 2m 44s;21XK11T2J03BF01380 - Juice Box 5;02/02/2026 06:47:44;30/01/2026 15:45:00;20,478
85073115;GS691VF2;GS691VF2;Gls Cosenza;TYPE2_C;f936d6df-f0d9-4f6f-bf36-0ac72b91cf63;62h 5m 40s;21XK11T2J03BF01376 - Juice Box 3;02/02/2026 05:41:06;30/01/2026 15:35:25;22,544
83604193;GS610JM;GS610JM;Gls Cosenza;TYPE2_C;fa58af45-ec39-4119-b619-e4d5292642ed;3h 57m 20s;20XP22T3KK4AL01214 - Juice Pole 2 Prese;30/01/2026 18:53:46;30/01/2026 14:56:26;8,958
83601537;GM098FB;GM098FB;Gls Cosenza;TYPE2_C;25565b72-192d-4cae-99da-919af5e67f76;63h 46m 40s;21XK11T2J03BF00793 - Juice Box 1;02/02/2026 05:44:07;30/01/2026 13:57:26;25,015
85073096;HA748ME;HA748ME;Gls Cosenza;TYPE2_C;6f4a4121-764d-474e-9b3a-e4964396ed21;6h 46m 52s;20XP22T3KK4AL01214 - Juice Pole 2 Prese;30/01/2026 19:55:44;30/01/2026 13:08:51;19,578
83662927;GS824JN;GS824JN;Gls Cosenza;TYPE2_C;9b598793-11c4-4271-b406-0b353e16e023;0h 0m 4s;21XK11T2J03BF00797 - Juice Box 4;30/01/2026 06:34:15;30/01/2026 06:34:11;0
85048280;GF923SW;GF923SW;Gls Cosenza;TYPE2_C;ca0c22b6-7ac7-4f47-84ab-c29190002772;3h 13m 28s;20XP22T3KK4AL01214 - Juice Pole 2 Prese;30/01/2026 09:26:51;30/01/2026 06:13:23;22,142
83604192;GR628XD;GR628XD;Gls Cosenza;TYPE2_C;5a9f678f-9f4b-4d48-ae97-355c26945634;12h 14m 14s;21XK11T2J03BF01381 - Juice Box 10;30/01/2026 07:13:50;29/01/2026 18:59:35;41,472
83601684;GS874LZ;GS874LZ;Gls Cosenza;TYPE2_C;037d9366-beda-447e-9d19-befd9e9da37a;13h 42m 34s;23XK11M2J03BF00236 - Juice Box Dario;30/01/2026 08:33:32;29/01/2026 18:50:57;37,427
83604189;GM709PN;GM709PN;Gls Cosenza;TYPE2_C;84b83579-209f-4aee-85ff-30a55f232bea;12h 47m 29s;21XK11T2J03BF00817 - Juice Box 9;30/01/2026 06:34:34;29/01/2026 17:47:05;48,636
85073115;GS691VF2;GS691VF2;Gls Cosenza;TYPE2_C;ec2ef55c-3a1b-4634-a416-6ee236896ffa;12h 38m 4s;21XK11T2J03BF00818 - Juice Box 2;30/01/2026 05:33:52;29/01/2026 16:55:47;24,874
83604191;GS820JN;GS820JN;Gls Cosenza;TYPE2_C;0dd77d1c-8f30-4582-8087-ff68eee04c90;14h 23m 4s;21XK11T2J03BF01379 - Juice Box 8;30/01/2026 07:16:31;29/01/2026 16:53:26;41,728
83510720;GM100FB;GM100FB;Gls Cosenza;TYPE2_C;c1c61b0d-6c90-4883-940e-ed9226a5cd46;14h 31m 23s;21XK11T2J03BF01380 - Juice Box 5;30/01/2026 07:24:19;29/01/2026 16:52:56;57,632
83601661;GR637XD;GR637XD;Gls Cosenza;TYPE2_C;e59a3a3c-8821-496b-a3dd-c94c7d2108a4;12h 56m 30s;21XK11T2J03BF01377 - Juice Box 6;30/01/2026 05:36:44;29/01/2026 16:40:13;15,376
83511001;GM099FB;GM099FB;Gls Cosenza;TYPE2_C;6492fb6a-0c2a-450e-8fc5-4f16dea2b590;13h 38m 35s;21XK11T2J03BF01376 - Juice Box 3;30/01/2026 05:59:07;29/01/2026 16:20:31;51,074
83601537;GM098FB;GM098FB;Gls Cosenza;TYPE2_C;61e11575-5d8b-496f-ba07-287d158e0b04;14h 33m 32s;21XK11T2J03BF00819 - Juice Box 7;30/01/2026 06:47:13;29/01/2026 16:13:40;36,332
83662927;GS824JN;GS824JN;Gls Cosenza;TYPE2_C;9e883a64-2872-4e34-affa-eb8928a85ba9;14h 30m 53s;21XK11T2J03BF00797 - Juice Box 4;30/01/2026 06:34:16;29/01/2026 16:03:22;63,2
83604193;GS610JM;GS610JM;Gls Cosenza;TYPE2_C;d4ae2299-62d7-45bc-83a8-66a2738b068f;4h 4m 50s;20XP22T3KK4AL01214 - Juice Pole 2 Prese;29/01/2026 18:58:48;29/01/2026 14:53:58;26,952
83601537;GM098FB;GM098FB;Gls Cosenza;TYPE2_C;87f22e89-c6cf-4021-8e15-df1403fb231b;14h 50m 12s;21XK11T2J03BF00793 - Juice Box 1;30/01/2026 05:33:23;29/01/2026 14:43:11;36,181
83601659;GS690EP;GS690EP;Gls Cosenza;TYPE2_C;f35cb7a0-18a3-49fb-8fb8-1461a372cf70;4h 37m 24s;21XK11T2J03BF00819 - Juice Box 7;29/01/2026 13:14:23;29/01/2026 08:36:58;49,97
83662927;GS824JN;GS824JN;Gls Cosenza;TYPE2_C;642ba7aa-6078-402c-8020-da2b410e3e85;0h 0m 9s;21XK11T2J03BF01376 - Juice Box 3;29/01/2026 06:25:47;29/01/2026 06:25:38;0
83601684;GS874LZ;GS874LZ;Gls Cosenza;TYPE2_C;1f17a13b-ed02-4eb9-92a4-0e9f0ea6c875;9h 14m 33s;23XK11M2J03BF00236 - Juice Box Dario;29/01/2026 08:21:14;28/01/2026 23:06:41;28,285
83604189;GM709PN;GM709PN;Gls Cosenza;TYPE2_C;1798ca78-b486-49f9-8761-405ee5946ffa;12h 49m 12s;21XK11T2J03BF01381 - Juice Box 10;29/01/2026 06:27:42;28/01/2026 17:38:29;44,006
83604192;GR628XD;GR628XD;Gls Cosenza;TYPE2_C;d60bb5f1-7be6-4ac9-9218-98aaada6c39e;14h 5m 36s;21XK11T2J03BF00797 - Juice Box 4;29/01/2026 07:26:57;28/01/2026 17:21:20;45,606
83604192;GR628XD;GR628XD;Gls Cosenza;TYPE2_C;77d40930-e562-4306-bf16-24300f9d051f;14h 7m 17s;21XK11T2J03BF00797 - Juice Box 4;29/01/2026 07:26:37;28/01/2026 17:19:20;0
83604191;GS820JN;GS820JN;Gls Cosenza;TYPE2_C;fa92135d-71b3-484e-bef7-7cdedb6496b6;14h 17m 34s;21XK11T2J03BF00819 - Juice Box 7;29/01/2026 07:33:45;28/01/2026 17:16:11;51,458
85073115;GS691VF2;GS691VF2;Gls Cosenza;TYPE2_C;bc2e9265-b789-4d55-a35c-e868fa9bbe0a;12h 19m 35s;20XP22T3KK4AL01214 - Juice Pole 2 Prese;29/01/2026 05:33:50;28/01/2026 17:14:14;23,018
83601661;GR637XD;GR637XD;Gls Cosenza;TYPE2_C;d71f932d-4354-4cd0-8e7b-c8c3ffcd861b;13h 25m 48s;21XK11T2J03BF01379 - Juice Box 8;29/01/2026 06:01:19;28/01/2026 16:35:30;14,05
83510720;GM100FB;GM100FB;Gls Cosenza;TYPE2_C;b0288f21-0e9d-4dd9-820f-991463c7660f;14h 53m 38s;21XK11T2J03BF01377 - Juice Box 6;29/01/2026 07:24:56;28/01/2026 16:31:17;50,84
83511001;GM099FB;GM099FB;Gls Cosenza;TYPE2_C;6901d2ac-7053-4194-ae2c-5b796bef92a5;13h 35m 8s;21XK11T2J03BF00818 - Juice Box 2;29/01/2026 06:01:44;28/01/2026 16:26:35;44,936
83662927;GS824JN;GS824JN;Gls Cosenza;TYPE2_C;cb54fee9-93e6-4893-ba2e-95c22638fc77;14h 8m 28s;21XK11T2J03BF01376 - Juice Box 3;29/01/2026 06:25:55;28/01/2026 16:17:26;47,616
83662927;GS824JN;GS824JN;Gls Cosenza;TYPE2_C;1a9d58ea-da4a-4df7-af44-dbcb7cb02f85;0h 0m 36s;21XK11T2J03BF00797 - Juice Box 4;28/01/2026 16:17:19;28/01/2026 16:16:44;0
83662927;GS824JN;GS824JN;Gls Cosenza;TYPE2_C;abbb0b4a-fb29-484d-a9a1-ffb2a06bac4b;0h 0m 35s;21XK11T2J03BF00797 - Juice Box 4;28/01/2026 16:16:33;28/01/2026 16:16:00;0
83662927;GS824JN;GS824JN;Gls Cosenza;TYPE2_C;9f0dc8bc-ecd0-4d31-be97-a87347cad073;14h 37m 59s;21XK11T2J03BF01380 - Juice Box 5;29/01/2026 06:53:19;28/01/2026 16:15:20;39,152
83601537;GM098FB;GM098FB;Gls Cosenza;TYPE2_C;34829910-79d8-4bcf-8c0c-5a30d8415e53;13h 53m 34s;21XK11T2J03BF00793 - Juice Box 1;29/01/2026 05:29:57;28/01/2026 15:36:23;26,086
83604192;GR628XD;GR628XD;Gls Cosenza;TYPE2_C;3edef82c-d751-4b13-b1e6-f7f3c2bbc3ed;0h 0m 7s;21XK11T2J03BF00793 - Juice Box 1;28/01/2026 07:18:29;28/01/2026 07:18:22;0
85048280;GF923SW;GF923SW;Gls Cosenza;TYPE2_C;ef37e189-055b-4f5e-ab7d-f3b11049fd02;3h 24m 49s;20XP22T3KK4AL01214 - Juice Pole 2 Prese;28/01/2026 09:41:22;28/01/2026 06:16:32;18,966
83601684;GS874LZ;GS874LZ;Gls Cosenza;TYPE2_C;d1520979-9db1-4358-91f0-9f69051148b1;13h 20m 10s;23XK11M2J03BF00236 - Juice Box Dario;28/01/2026 08:42:34;27/01/2026 19:22:23;40,279
83604192;GR628XD;GR628XD;Gls Cosenza;TYPE2_C;ea2733e5-d99a-4342-8ef8-0ce8da8d0956;0h 0m 4s;21XK11T2J03BF00793 - Juice Box 1;27/01/2026 19:16:33;27/01/2026 19:16:28;0
83604192;GR628XD;GR628XD;Gls Cosenza;TYPE2_C;6c9c254e-567d-4538-9be2-906c598bb20d;0h 0m 4s;21XK11T2J03BF00793 - Juice Box 1;27/01/2026 19:15:55;27/01/2026 19:15:51;0
83604192;GR628XD;GR628XD;Gls Cosenza;TYPE2_C;30cdc600-882f-44d5-8005-1ec054a44bac;0h 2m 11s;21XK11T2J03BF00793 - Juice Box 1;27/01/2026 19:16:36;27/01/2026 19:14:24;0
83604189;GM709PN;GM709PN;Gls Cosenza;TYPE2_C;f2779e00-fa87-46fa-bb05-a6b23397abf3;12h 43m 52s;21XK11T2J03BF01381 - Juice Box 10;28/01/2026 06:30:36;27/01/2026 17:46:43;41,208
85048280;GF923SW;GF923SW;Gls Cosenza;TYPE2_C;b7622a8b-9bce-429d-89e3-edba3537c58c;2h 7m 10s;21XK11T2J03BF00818 - Juice Box 2;27/01/2026 19:20:06;27/01/2026 17:12:56;4,802
83510720;GM100FB;GM100FB;Gls Cosenza;TYPE2_C;b36bdff4-04d8-4c04-9ea3-d73e256ddd3d;14h 44m 8s;21XK11T2J03BF01379 - Juice Box 8;28/01/2026 07:23:05;27/01/2026 16:38:56;47,764
83601661;GR637XD;GR637XD;Gls Cosenza;TYPE2_C;f4a39a1e-bb7e-47a8-bfd1-8b24e73e08c3;13h 26m 56s;21XK11T2J03BF00819 - Juice Box 7;28/01/2026 06:04:13;27/01/2026 16:37:16;43,3
83511001;GM099FB;GM099FB;Gls Cosenza;TYPE2_C;3e34fa94-801d-4747-b968-99eec1fd52e2;13h 40m 35s;21XK11T2J03BF01376 - Juice Box 3;28/01/2026 06:03:02;27/01/2026 16:22:27;40,484
83604191;GS820JN;GS820JN;Gls Cosenza;TYPE2_C;f651bf51-b97b-4160-9f42-9bbf6dbca587;14h 37m 59s;21XK11T2J03BF01380 - Juice Box 5;28/01/2026 06:47:49;27/01/2026 16:09:50;33,064
83604191;GS820JN;GS820JN;Gls Cosenza;TYPE2_C;25451745-66ed-460b-80c5-7396c90501c0;15h 28m 32s;21XK11T2J03BF01377 - Juice Box 6;28/01/2026 07:30:16;27/01/2026 16:01:43;28,312
