Card RFID/MAC Address;Driver;Targa;Nome della Sede / Sede secondaria;Tipologia di Presa;Identificativo della Sessione;Durata della sessione;Serial number e nome della Stazione di Ricarica;Fine sessione;Inizio sessione;Energia erogata
85048280;GF923SW;GF923SW;Gls Cosenza;TYPE2_C;001f63ed-16b9-4cab-acf9-d988408b063d;1h 2m 30s;20XP22T3KK4AL01214 - Juice Pole 2 Prese;28/02/2026 10:17:20;28/02/2026 09:14:49;7,126
83604193;GS610JM;GS610JM;Gls Cosenza;TYPE2_C;7232b86a-748b-4cf8-996c-567ad45d0e5e;3h 50m 21s;20XP22T3KK4AL01214 - Juice Pole 2 Prese;28/02/2026 12:04:26;28/02/2026 08:14:04;21,752
83604189;GM709PN;GM709PN;Gls Cosenza;TYPE2_C;4b7b9c77-5a30-48ab-8315-869a7bee031f;59h 48m 22s;21XK11T2J03BF01381 - Juice Box 10;02/03/2026 06:33:43;27/02/2026 18:45:21;44,27
83604189;GM709PN;GM709PN;Gls Cosenza;TYPE2_C;b8bad596-5f1c-480d-9963-ae6ecb22de3c;0h 0m 26s;21XK11T2J03BF01381 - Juice Box 10;27/02/2026 18:44:52;27/02/2026 18:44:29;0
83604189;GM709PN;GM709PN;Gls Cosenza;TYPE2_C;947bb1f4-9cee-4001-b590-d60188168c4b;0h 0m 8s;21XK11T2J03BF01381 - Juice Box 10;27/02/2026 18:43:31;27/02/2026 18:43:23;0
83604189;GM709PN;GM709PN;Gls Cosenza;TYPE2_C;5a22df34-25f4-409e-a06b-ea72b31fb795;15h 58m 3s;21XK11T2J03BF00817 - Juice Box 9;28/02/2026 10:40:37;27/02/2026 18:42:34;23,124
83604189;GM709PN;GM709PN;Gls Cosenza;TYPE2_C;b98bab50-69d0-4779-84f3-e3cbcfc7b587;0h 0m 47s;21XK11T2J03BF00817 - Juice Box 9;27/02/2026 18:42:03;27/02/2026 18:41:16;0,046
83510720;GM100FB;GM100FB;Gls Cosenza;TYPE2_C;4dd4af99-78f9-44af-9a82-64869b8e06ec;62h 5m 14s;21XK11T2J03BF00818 - Juice Box 2;02/03/2026 07:19:33;27/02/2026 17:14:18;49,358
85073115;GS691VF2;GS691VF2;Gls Cosenza;TYPE2_C;f46aa1e3-3fba-4e6d-a208-c650497cd032;0h 1m 35s;21XK11T2J03BF00817 - Juice Box 9;27/02/2026 17:02:42;27/02/2026 17:01:06;0
85073115;GS691VF2;GS691VF2;Gls Cosenza;TYPE2_C;5f0ccab6-5b58-4015-b9b2-dc3e837c4a0c;0h 0m 0s;21XK11T2J03BF00817 - Juice Box 9;27/02/2026 16:59:29;27/02/2026 16:59:28;0
85073115;GS691VF2;GS691VF2;Gls Cosenza;TYPE2_C;218a2295-c6c2-49fc-99a4-d70e889932d2;0h 0m 38s;21XK11T2J03BF01381 - Juice Box 10;27/02/2026 16:58:29;27/02/2026 16:57:51;0
85073115;GS691VF2;GS691VF2;Gls Cosenza;TYPE2_C;00418248-d8b4-4f07-8ea5-738e3f00e184;0h 1m 35s;21XK11T2J03BF00817 - Juice Box 9;27/02/2026 16:59:23;27/02/2026 16:57:48;0
85073115;GS691VF2;GS691VF2;Gls Cosenza;TYPE2_C;e4a10a8c-ad9d-4bf9-b0df-b4a3ace1bda3;0h 6m 35s;21XK11T2J03BF00817 - Juice Box 9;27/02/2026 16:57:41;27/02/2026 16:51:06;0,646
85073115;GS691VF2;GS691VF2;Gls Cosenza;TYPE2_C;d030c27e-102d-418a-8812-391b22d30d83;0h 1m 35s;21XK11T2J03BF01381 - Juice Box 10;27/02/2026 16:51:42;27/02/2026 16:50:07;0
85073115;GS691VF2;GS691VF2;Gls Cosenza;TYPE2_C;859d6c3e-b94d-4a76-b82c-2b44b41812a9;0h 1m 35s;21XK11T2J03BF00817 - Juice Box 9;27/02/2026 16:49:25;27/02/2026 16:47:50;0
83601661;GR637XD;GR637XD;Gls Cosenza;TYPE2_C;bd628f07-6c9e-45da-b65b-eeb992907566;18h 13m 12s;21XK11T2J03BF00819 - Juice Box 7;28/02/2026 10:23:41;27/02/2026 16:10:28;17,018
83511001;GM099FB;GM099FB;Gls Cosenza;TYPE2_C;19539318-50dc-4012-9e2b-4effc9654a99;63h 18m 34s;21XK11T2J03BF01376 - Juice Box 3;02/03/2026 07:20:31;27/02/2026 16:01:56;0
85073096;HA748ME;HA748ME;Gls Cosenza;TYPE2_C;45324722-6c45-475e-9935-2486d28d9933;3h 35m 2s;20XP22T3KK4AL01214 - Juice Pole 2 Prese;27/02/2026 19:13:10;27/02/2026 15:38:07;21,014
83662927;GS824JN;GS824JN;Gls Cosenza;TYPE2_C;c3c2b699-d97a-4cc6-86ca-7a495eab7174;62h 59m 34s;21XK11T2J03BF00797 - Juice Box 4;02/03/2026 06:18:50;27/02/2026 15:19:16;60,754
83604191;GS820JN;GS820JN;Gls Cosenza;TYPE2_C;a88fc866-ab63-45a0-85c9-f571ccc30e3a;63h 30m 49s;21XK11T2J03BF01377 - Juice Box 6;02/03/2026 06:32:09;27/02/2026 15:01:20;34,898
83601537;GM098FB;GM098FB;Gls Cosenza;TYPE2_C;dc2839e3-bb7f-48e4-8b27-277ceb4c6575;63h 26m 12s;21XK11T2J03BF00793 - Juice Box 1;02/03/2026 05:37:58;27/02/2026 14:11:46;43,89
83601659;GS690EP;GS690EP;Gls Cosenza;TYPE2_C;30493a73-b6ea-4768-8270-dd5d6aa3e2b8;3h 48m 54s;20XP22T3KK4AL01214 - Juice Pole 2 Prese;27/02/2026 13:13:43;27/02/2026 09:24:49;41,44
83510720;GM100FB;GM100FB;Gls Cosenza;TYPE2_C;17b664bf-be0f-4762-a96a-c738f7053f81;0h 0m 4s;21XK11T2J03BF00818 - Juice Box 2;27/02/2026 07:19:09;27/02/2026 07:19:04;0
83601684;GS874LZ;GS874LZ;Gls Cosenza;TYPE2_C;30dac68c-acd4-4e35-8f28-a5f68a55af79;12h 39m 24s;23XK11M2J03BF00236 - Juice Box Dario;27/02/2026 07:58:19;26/02/2026 19:18:54;35,46
85073115;GS691VF2;GS691VF2;Gls Cosenza;TYPE2_C;6636b176-e96e-4974-9caf-263f0d2366e3;11h 15m 43s;21XK11T2J03BF00817 - Juice Box 9;27/02/2026 05:29:11;26/02/2026 18:13:28;22,846
83604189;GM709PN;GM709PN;Gls Cosenza;TYPE2_C;b3e8dc84-9613-456c-96d1-1e1156095fdb;13h 14m 0s;21XK11T2J03BF01379 - Juice Box 8;27/02/2026 06:32:15;26/02/2026 17:18:14;45,382
83510720;GM100FB;GM100FB;Gls Cosenza;TYPE2_C;40e134a5-8537-4f06-9512-8f76d48c48af;14h 37m 25s;21XK11T2J03BF00818 - Juice Box 2;27/02/2026 07:20:48;26/02/2026 16:43:22;42,154
83511001;GM099FB;GM099FB;Gls Cosenza;TYPE2_C;4f06e4dd-d01b-429a-9ea8-f85dd1f128fc;13h 49m 23s;21XK11T2J03BF01376 - Juice Box 3;27/02/2026 06:00:57;26/02/2026 16:11:33;43,654
83604192;GR628XD;GR628XD;Gls Cosenza;TYPE2_C;670a60f4-9faa-4b9b-bd91-cc2bea18853d;0h 0m 1s;21XK11T2J03BF01380 - Juice Box 5;26/02/2026 16:00:31;26/02/2026 16:00:29;0,004
83604192;GR628XD;GR628XD;Gls Cosenza;TYPE2_C;eb8e331f-6486-4d36-a224-6dbe1edaeb19;0h 0m 7s;21XK11T2J03BF01380 - Juice Box 5;26/02/2026 15:59:53;26/02/2026 15:59:45;0
